index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
618	12.0	0.0939	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	235151709104652289	1		https://twitter.com/KamalaHarris/status/235151709104652289	7	1344899460	Tune in to  @ABCWorldNews with  @DianeSawyer tonight for more on CA's suit against a charity that misspent $ for  #veterans	['veterans']	['ABCWorldNews', 'DianeSawyer']		KamalaHarris
619	12.0	0.081	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	233713898757435392	0		https://twitter.com/KamalaHarris/status/233713898757435392	2	1344556680	Tune in to .  @AC360 tonight - CA just filed $4M lawsuit against charity that misspent $ for  #veterans.  #AC360  @DrewGriffinCNN	['veterans', 'AC360']	['AC360', 'DrewGriffinCNN']		KamalaHarris
620	4.0	0.1129	state, human_trafficking, join, speak, issue, discuss, convention, report, challenge, gang	232951069221715968	2		https://twitter.com/KamalaHarris/status/232951069221715968	12	1344374820	Mitt Romney's tax plan would benefit a very small fraction at the top. The  #middleclass families I met today in Ohio can't afford that.	['middleclass']	[]		KamalaHarris
621	1.0	0.0926	family, hope, healthcare, office, jerrybrowngov, birthday, long, mortgage, company, drug	232624142585823232	4		https://twitter.com/KamalaHarris/status/232624142585823232	10	1344296880	I extend my sympathy and condolences to the victims of the tragedy in Wisconsin, their families and members of the Sikh community.	[]	[]		KamalaHarris
622	14.0	0.0813	attorney, general, announce, settlement, file, scam, arrest, target, agree, barack_obama	230753456569319424	3	http://usat.ly/NUyjCr	https://twitter.com/KamalaHarris/status/230753456569319424	7	1343850840	Today is a very important day for  #womenshealth thanks to the  #ACA   via @NancyPelosi, Sec Sebelius	['womenshealth', 'ACA']	['NancyPelosi']		KamalaHarris
623	4.0	0.092	state, human_trafficking, join, speak, issue, discuss, convention, report, challenge, gang	230398626285907968	0	http://lat.ms/NjkD0y	https://twitter.com/KamalaHarris/status/230398626285907968	0	1343766240	"@LATlazarus on my office's new  #Privacy Enforcement and Protection Unit: an example all other states should follow."" "	['Privacy']	['LATlazarus']		KamalaHarris
624	8.0	0.0936	week, ag, fight, valley, night, hold, win, big, forward, policy	229954098634559488	0	http://cbsn.ws/QZqFKm	https://twitter.com/KamalaHarris/status/229954098634559488	2	1343660280	My interview w  @benstracy on our fight to protect CA homeowners, via .  @CBSThisMorning 	[]	['benstracy', 'CBSThisMorning']		KamalaHarris
625	14.0	0.113	attorney, general, announce, settlement, file, scam, arrest, target, agree, barack_obama	228192386495414273	3		https://twitter.com/KamalaHarris/status/228192386495414273	5	1343240220	It was an honor to welcome my friend, Marisela Morales .  @MMoralesI, Mexico's first female Attorney General, to CA	[]	['MMoralesI']	pic.twitter.com/1Y8pN3p2	KamalaHarris
626	1.0	0.0885	family, hope, healthcare, office, jerrybrowngov, birthday, long, mortgage, company, drug	226458289385381889	0		https://twitter.com/KamalaHarris/status/226458289385381889	7	1342826820	We grieve for the victims of the Colorado tragedy.	[]	[]		KamalaHarris
627	12.0	0.0823	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	224185611693723648	0	http://bit.ly/PUsnw9	https://twitter.com/KamalaHarris/status/224185611693723648	2	1342284960	Willis Edwards was a dear friend and an inspiration.	[]	[]		KamalaHarris
