index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
5976	8.0	0.145	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	866334629036384256	39524	https://www.facebook.com/DonaldTrump/posts/10159172888005725	https://twitter.com/realDonaldTrump/status/866334629036384256	10242	1495385220	Speech transcript at Arab Islamic American Summit  ... Replay  ...  #RiyadhSummit  #POTUSAbroad	['RiyadhSummit', 'POTUSAbroad']	[]		realDonaldTrump
5977	8.0	0.2	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	865957909565366272	72268	https://twitter.com/deptofdefense/status/865900236392210432	https://twitter.com/realDonaldTrump/status/865957909565366272	17370	1495295400	Thank you to the BRAVE servicemen & women who have served, and continue to serve the United States- our true HEROES!  #ArmedForcesDay ...	['ArmedForcesDay']	[]		realDonaldTrump
5978	8.0	0.1559	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	865865814099939328	79034		https://twitter.com/realDonaldTrump/status/865865814099939328	50910	1495273440	Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead.  #POTUSAbroad	['POTUSAbroad']	[]	pic.twitter.com/JJOra0KfyR	realDonaldTrump
5979	6.0	0.1285	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	865692565454106624	32982	http://45.wh.gov/3Kq9Fe	https://twitter.com/realDonaldTrump/status/865692565454106624	6238	1495232160	 #WeeklyAddress  	['WeeklyAddress']	[]	pic.twitter.com/HIQoFuc5cy	realDonaldTrump
5980	2.0	0.1322	big, state, win, happen, give, congratulation, republican, maga, leave, governor	865573793531478017	98521		https://twitter.com/realDonaldTrump/status/865573793531478017	18059	1495203840	Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!	[]	[]		realDonaldTrump
5981	1.0	0.1349	president, work, america, hard, speak, head, thing, incredible, interview, proud	865387523371143168	51427	http://45.wh.gov/sLr2xt	https://twitter.com/realDonaldTrump/status/865387523371143168	11291	1495159380	"President Donald J. Trump Proclaims 5/14/2017 through 5/20/2017 as  #PoliceWeek"" Proclamation  #ThankACop  #LESM"	['PoliceWeek', 'ThankACop', 'LESM']	[]	pic.twitter.com/r5n8EfMCI0	realDonaldTrump
5982	1.0	0.1281	president, work, america, hard, speak, head, thing, incredible, interview, proud	865337513245913089	47596	http://45.wh.gov/C7xivQ	https://twitter.com/realDonaldTrump/status/865337513245913089	8996	1495147500	A great honor to welcome President Juan Manuel Santos of Colombia to the White House today! Joint Press Conf 	[]	[]	pic.twitter.com/dPZ6DoVBph	realDonaldTrump
5983	4.0	0.2146	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	865207118785372160	96931		https://twitter.com/realDonaldTrump/status/865207118785372160	27165	1495116420	With all of the illegal acts that took place in the Clinton campaign & Obama Administration, there was never a special counsel appointed!	[]	[]		realDonaldTrump
5984	8.0	0.129	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	865173176854204416	110694		https://twitter.com/realDonaldTrump/status/865173176854204416	32281	1495108320	This is the single greatest witch hunt of a politician in American history!	[]	[]		realDonaldTrump
5985	1.0	0.1508	president, work, america, hard, speak, head, thing, incredible, interview, proud	864942610191978496	63355	http://45.wh.gov/bbR882	https://twitter.com/realDonaldTrump/status/864942610191978496	12073	1495053360	It was my great honor to deliver the  #CGACommencement17 at the  @USCGAcademy. CONGRATULATIONS to the Class of 2017!  	['CGACommencement17']	['USCGAcademy']	pic.twitter.com/mBQsOW7suU	realDonaldTrump
5986	8.0	0.1676	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	864565791076872192	67816		https://twitter.com/realDonaldTrump/status/864565791076872192	17017	1494963480	It was a great honor to welcome the President of Turkey, Recep Tayyip Erdoğan, to the  @WhiteHouse today!	[]	['WhiteHouse']	pic.twitter.com/4BWjOCgnNv	realDonaldTrump
5987	3.0	0.1399	year, job, good, time, high, history, number, economy, low, record	864511331029921792	47754	https://www.wsj.com/articles/u-s-industrial-production-surged-in-april-1494940961	https://twitter.com/realDonaldTrump/status/864511331029921792	11010	1494950520	'U.S. Industrial Production Surged in April' ...	[]	[]		realDonaldTrump
5988	4.0	0.1832	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	864452996129853444	73265		https://twitter.com/realDonaldTrump/status/864452996129853444	17748	1494936600	I have been asking Director Comey & others, from the beginning of my administration, to find the LEAKERS in the intelligence community.....	[]	[]		realDonaldTrump
5989	1.0	0.147	president, work, america, hard, speak, head, thing, incredible, interview, proud	864438529472049152	70035		https://twitter.com/realDonaldTrump/status/864438529472049152	16022	1494933180	...to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS & terrorism.	[]	[]		realDonaldTrump
5990	6.0	0.1695	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	864436162567471104	69704		https://twitter.com/realDonaldTrump/status/864436162567471104	17481	1494932580	As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining....	[]	[]		realDonaldTrump
5991	1.0	0.1261	president, work, america, hard, speak, head, thing, incredible, interview, proud	864296272844529664	66301	https://www.whitehouse.gov/the-press-office/2017/05/15/president-donald-j-trump-proclaims-may-15-2017-peace-officers-memorial	https://twitter.com/realDonaldTrump/status/864296272844529664	16335	1494899220	 #PeaceOfficersMemorialDay and  #PoliceWeek Proclamation:  ...	['PeaceOfficersMemorialDay', 'PoliceWeek']	[]	pic.twitter.com/UMJ6hklx4a	realDonaldTrump
5992	8.0	0.2165	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	864207293289771012	50399	http://45.wh.gov/bLxeyb	https://twitter.com/realDonaldTrump/status/864207293289771012	10037	1494878040	Today, I delivered remarks at the 36th Annual National Peace Officers' Memorial Service.  #NationalPoliceWeek Watch:  	['NationalPoliceWeek']	[]	pic.twitter.com/lAE9aXLuW4	realDonaldTrump
5993	8.0	0.1789	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	863774341921742848	123913		https://twitter.com/realDonaldTrump/status/863774341921742848	19420	1494774780	Wishing  @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy  #MothersDay	['MothersDay']	['FLOTUS']		realDonaldTrump
5994	8.0	0.1329	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	863468271668002817	65884	http://45.wh.gov/yC4dRy	https://twitter.com/realDonaldTrump/status/863468271668002817	13924	1494701820	I was thrilled to be back  @LibertyU. Congratulations to the Class of 2017! This is your day, and you've earned it.  	[]	['LibertyU']	pic.twitter.com/qlHWvskrFb	realDonaldTrump
5995	1.0	0.1677	president, work, america, hard, speak, head, thing, incredible, interview, proud	863452412459307009	41897		https://twitter.com/realDonaldTrump/status/863452412459307009	6761	1494698040	Will be interviewed by  @JudgeJeanine on  @FoxNews at 9:00 P.M. (Saturday night). Enjoy!	[]	['JudgeJeanine', 'FoxNews']		realDonaldTrump
5996	6.0	0.1285	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	863194069891031041	42265	http://45.wh.gov/GrYott	https://twitter.com/realDonaldTrump/status/863194069891031041	9782	1494636420	 #WeeklyAddress  	['WeeklyAddress']	[]	pic.twitter.com/1iW7tVVNCH	realDonaldTrump
5997	1.0	0.137	president, work, america, hard, speak, head, thing, incredible, interview, proud	863140961114886144	48152	http://45.wh.gov/Bvi5d1	https://twitter.com/realDonaldTrump/status/863140961114886144	9742	1494623760	Today, I welcomed the Victory Christian Center School. Good luck @the Team America Rocketry Challenge!  #TARC Watch:  	['TARC']	['the']	pic.twitter.com/zXBBhz7qcV	realDonaldTrump
5998	8.0	0.1593	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	863139099825364994	52021		https://twitter.com/realDonaldTrump/status/863139099825364994	10767	1494623340	Today,  @FLOTUS hosted a Military Mother's Day Event in the East Room of the WH. It was an honor to stop by, say hello, & introduce Melania!	[]	['FLOTUS']	pic.twitter.com/0pVUUvf2vy	realDonaldTrump
5999	6.0	0.1789	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	863020954427043840	113368		https://twitter.com/realDonaldTrump/status/863020954427043840	27241	1494595200	China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!	[]	[]		realDonaldTrump
6000	4.0	0.1657	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	863014620516233216	65872		https://twitter.com/realDonaldTrump/status/863014620516233216	16048	1494593640	When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?	[]	[]		realDonaldTrump
6001	4.0	0.1462	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	863007411132649473	70685		https://twitter.com/realDonaldTrump/status/863007411132649473	23431	1494591960	"James Comey better hope that there are no tapes"" of our conversations before he starts leaking to the press!"""	[]	[]		realDonaldTrump
6002	8.0	0.1384	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	863002719400976384	73704		https://twitter.com/realDonaldTrump/status/863002719400976384	16577	1494590820	"...Maybe the best thing to do would be to cancel all future press briefings"" and hand out written responses for the sake of accuracy???"""	[]	[]		realDonaldTrump
6003	1.0	0.1648	president, work, america, hard, speak, head, thing, incredible, interview, proud	863000553265270786	56916		https://twitter.com/realDonaldTrump/status/863000553265270786	11805	1494590340	As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy!....	[]	[]		realDonaldTrump
6004	0.0	0.1614	fake_news, bad, medium, time, story, call, report, show, news, white_house	862999243560288256	71701		https://twitter.com/realDonaldTrump/status/862999243560288256	17701	1494589980	The Fake Media is working overtime today!	[]	[]		realDonaldTrump
6005	4.0	0.1883	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	862998775731818496	71303		https://twitter.com/realDonaldTrump/status/862998775731818496	17161	1494589860	Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.	[]	[]		realDonaldTrump
6006	1.0	0.1517	president, work, america, hard, speak, head, thing, incredible, interview, proud	862788002594127873	47722		https://twitter.com/realDonaldTrump/status/862788002594127873	11423	1494539640	Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo Klimkin.  #LetsMakePeace!	['LetsMakePeace']	[]	pic.twitter.com/SPiIrJqI6G	realDonaldTrump
6007	4.0	0.1657	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	862767872879325185	85483		https://twitter.com/realDonaldTrump/status/862767872879325185	22299	1494534840	Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.	[]	[]		realDonaldTrump
6008	2.0	0.1237	big, state, win, happen, give, congratulation, republican, maga, leave, governor	862758098892619780	109346	https://twitter.com/rosie/status/811352134256037889	https://twitter.com/realDonaldTrump/status/862758098892619780	35360	1494532500	We finally agree on something Rosie. ...	[]	[]		realDonaldTrump
6009	0.0	0.1475	fake_news, bad, medium, time, story, call, report, show, news, white_house	862753016193089536	37628	http://45.wh.gov/g3PRF1	https://twitter.com/realDonaldTrump/status/862753016193089536	8774	1494531300	'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity'  	[]	[]	pic.twitter.com/zfu80enoWH	realDonaldTrump
6010	0.0	0.1667	fake_news, bad, medium, time, story, call, report, show, news, white_house	862752672683839488	34582	http://45.wh.gov/fd42sg	https://twitter.com/realDonaldTrump/status/862752672683839488	7461	1494531240	'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure'  	[]	[]	pic.twitter.com/cb05pVE1zj	realDonaldTrump
6011	4.0	0.1255	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	862460991451344896	91082		https://twitter.com/realDonaldTrump/status/862460991451344896	36684	1494461640	The Democrats should be ashamed. This is a disgrace!  #DrainTheSwamp	['DrainTheSwamp']	[]	pic.twitter.com/UfbKEECm2V	realDonaldTrump
6012	3.0	0.173	year, job, good, time, high, history, number, economy, low, record	862387734492663808	85887		https://twitter.com/realDonaldTrump/status/862387734492663808	22320	1494444180	Dems have been complaining for months & months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!	[]	[]		realDonaldTrump
6013	0.0	0.1676	fake_news, bad, medium, time, story, call, report, show, news, white_house	862290442129461249	52338		https://twitter.com/realDonaldTrump/status/862290442129461249	13726	1494421020	The Roger Stone report on  @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.	[]	['CNN']		realDonaldTrump
6014	0.0	0.1507	fake_news, bad, medium, time, story, call, report, show, news, white_house	862286091759611905	55505		https://twitter.com/realDonaldTrump/status/862286091759611905	11903	1494419940	caught, he cried like a baby and begged for forgiveness...and now he is judge & jury. He should be the one who is investigated for his acts.	[]	[]		realDonaldTrump
6015	8.0	0.1648	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	862283792559616000	50912		https://twitter.com/realDonaldTrump/status/862283792559616000	12637	1494419400	years, as a pol in Connecticut, Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When....	[]	[]		realDonaldTrump
6016	4.0	0.1362	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	862282202188566529	51591		https://twitter.com/realDonaldTrump/status/862282202188566529	13064	1494419040	"Watching Senator Richard Blumenthal speak of Comey is a joke. Richie"" devised one of the greatest military frauds in U.S. history. For...."""	[]	[]		realDonaldTrump
6017	3.0	0.1224	year, job, good, time, high, history, number, economy, low, record	862267781336752128	67341		https://twitter.com/realDonaldTrump/status/862267781336752128	15561	1494415620	Comey lost the confidence of almost everyone in Washington, Republican and Democrat alike. When things calm down, they will be thanking me!	[]	[]		realDonaldTrump
