index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0	7.0	0.1877	big, maga, state, florida, tonight, honor, speak, stand, whitehouse, look_forward	1134559092545134593	129105	https://www.donaldjtrump.com/rallies/jun-orla-flor-2019	https://twitter.com/realDonaldTrump/status/1134559092545134593	35485	1559334900	I will be announcing my Second Term Presidential Run with First Lady Melania, Vice President Mike Pence, and Second Lady Karen Pence on June 18th in Orlando, Florida, at the 20,000 seat Amway Center. Join us for this Historic Rally! Tickets: ...	[]	[]		realDonaldTrump
1	5.0	0.1066	time, fake_news, medium, story, report, fact, bad, news, fake, book	1134550682080620544	76162		https://twitter.com/realDonaldTrump/status/1134550682080620544	20639	1559332920	GREAT NEWS!  #MAGA	['MAGA']	[]	pic.twitter.com/91Yk8B11bP	realDonaldTrump
2	2.0	0.1198	day, north_korea, nation, family, man, world, place, honor, woman, life	1134538168324300800	106322		https://twitter.com/realDonaldTrump/status/1134538168324300800	20527	1559329920	....on the basis of their sexual orientation. My Administration has launched a global campaign to decriminalize homosexuality and invite all nations to join us in this effort!	[]	[]		realDonaldTrump
3	2.0	0.1713	day, north_korea, nation, family, man, world, place, honor, woman, life	1134538166919204865	137755		https://twitter.com/realDonaldTrump/status/1134538166919204865	29116	1559329920	As we celebrate LGBT Pride Month and recognize the outstanding contributions LGBT people have made to our great Nation, let us also stand in solidarity with the many LGBT people who live in dozens of countries worldwide that punish, imprison, or even execute individuals....	[]	[]		realDonaldTrump
4	7.0	0.1732	big, maga, state, florida, tonight, honor, speak, stand, whitehouse, look_forward	1134522786804850688	65844		https://twitter.com/realDonaldTrump/status/1134522786804850688	18278	1559326260	.  @SeanHannity is having a DEEP STATE SHOW tonight on Fox News at 9:00 PM (E), exposing the tremendous abuse of power that has been uncovered. Tremendous guests, a must see – Enjoy!	[]	['SeanHannity']		realDonaldTrump
5	2.0	0.1936	day, north_korea, nation, family, man, world, place, honor, woman, life	1134522066508685314	70970		https://twitter.com/realDonaldTrump/status/1134522066508685314	15547	1559326080	Saddened to hear about the loss of John Pinto, a Navajo Code Talker in World War II, over the Memorial Day Weekend. The Code Talkers are true American HEROES and John never stopped serving his fellow citizens as a longtime New Mexico State Senator. John, Rest In Peace!	[]	[]		realDonaldTrump
6	0.0	0.1558	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1134469934816346113	108978		https://twitter.com/realDonaldTrump/status/1134469934816346113	29072	1559313660	90% of the Drugs coming into the United States come through Mexico & our Southern Border. 80,000 people died last year, 1,000,000 people ruined. This has gone on for many years & nothing has been done about it. We have a 100 Billion Dollar Trade Deficit with Mexico. It’s time!	[]	[]		realDonaldTrump
7	0.0	0.1642	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1134466523114999809	92796		https://twitter.com/realDonaldTrump/status/1134466523114999809	23073	1559312820	In order not to pay Tariffs, if they start rising, companies will leave Mexico, which has taken 30% of our Auto Industry, and come back home to the USA. Mexico must take back their country from the drug lords and cartels. The Tariff is about stopping drugs as well as illegals!	[]	[]		realDonaldTrump
8	1.0	0.1833	democrat, border, wall, security, dem, stop, mexico, build, include, illegal	1134452086857523205	91609		https://twitter.com/realDonaldTrump/status/1134452086857523205	22086	1559309400	Mexico has taken advantage of the United States for decades. Because of the Dems, our Immigration Laws are BAD. Mexico makes a FORTUNE from the U.S., have for decades, they can easily fix this problem. Time for them to finally do what must be done!	[]	[]		realDonaldTrump
9	1.0	0.2239	democrat, border, wall, security, dem, stop, mexico, build, include, illegal	1134448050464800769	80843		https://twitter.com/realDonaldTrump/status/1134448050464800769	19368	1559308440	Hard to believe that with the Crisis on the Border, the Dems won’t do the quick and easy fix. Would solve the problem but they want Open Borders, which equals crime!	[]	[]		realDonaldTrump
10	7.0	0.1152	big, maga, state, florida, tonight, honor, speak, stand, whitehouse, look_forward	1134442192720879616	69069		https://twitter.com/realDonaldTrump/status/1134442192720879616	14572	1559307060	Congratulations to the  @AF_Academy Class of 2019!	[]	['AF_Academy']	pic.twitter.com/A4Rxd1BsVn	realDonaldTrump
11	3.0	0.1707	collusion, fbi, russia, campaign, witch_hunt, total, start, fire, russian, lie	1134438947298467840	58164		https://twitter.com/realDonaldTrump/status/1134438947298467840	15113	1559306280	Sean Davis, The Federalist: “Mueller proved his entire operation was a political hit job. Still ZERO evidence of Trump-Russia Collusion, and no new evidence from Mueller.”  @TuckerCarlson  @FoxNews	[]	['TuckerCarlson', 'FoxNews']		realDonaldTrump
12	5.0	0.121	time, fake_news, medium, story, report, fact, bad, news, fake, book	1134276359260389377	51214		https://twitter.com/realDonaldTrump/status/1134276359260389377	10081	1559267520	I will be watching  @AlanDersh on  @IngrahamAngle at 10:00 P.M. He speaks the truth!	[]	['AlanDersh', 'IngrahamAngle']		realDonaldTrump
13	0.0	0.1169	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1134240657621438464	100642		https://twitter.com/realDonaldTrump/status/1134240657621438464	19966	1559259000	....at which time the Tariffs will be removed. Details from the White House to follow.	[]	[]		realDonaldTrump
